DATE,TEMPERATURE,MA60,MA90,MA120,MA180
2005-09-26 12:00:00,23.435516,25.001925733333334,25.00688217777778,24.322710091666668,21.66689461388889
2005-09-27 12:00:00,23.413046,24.94300906666667,24.983776955555555,24.338271925,21.716805858333334
2005-09-28 12:00:00,23.369291,24.87933395,24.95881477777778,24.351962583333332,21.766444816666667
2005-09-29 12:00:00,23.298336,24.812524716666662,24.933533277777773,24.365025999999997,21.816094216666666
2005-09-30 12:00:00,23.156384,24.742359283333332,24.91446047777778,24.377155166666668,21.86522198888889
2005-10-01 12:00:00,22.8353,24.666943416666665,24.901526466666667,24.385542891666667,21.912387988888888
2005-10-02 12:00:00,22.606709,24.592679533333335,24.887604966666665,24.38989665833333,21.95855308888889
2005-10-03 12:00:00,22.484701,24.528529216666666,24.86947034444444,24.393512849999997,22.00372841111111
2005-10-04 12:00:00,22.376993,24.477827183333332,24.849492555555557,24.396666891666666,22.047379233333334
2005-10-05 12:00:00,22.29094,24.436109,24.82739951111111,24.400157158333336,22.090940694444445
2005-10-06 12:00:00,22.223188,24.39355503333333,24.802324777777777,24.406880575,22.13417942222222
2005-10-07 12:00:00,22.108294,24.34933738333333,24.773829822222222,24.418266766666665,22.177227655555555
2005-10-08 12:00:00,21.972528,24.304242316666667,24.742941488888885,24.429901174999998,22.220085044444446
2005-10-09 12:00:00,21.813938,24.2565977,24.710919466666667,24.44004895,22.261972166666666
2005-10-10 12:00:00,21.705097,24.204323849999998,24.680428233333334,24.449149291666668,22.303140194444445
2005-10-11 12:00:00,21.635452,24.14926758333333,24.651324211111113,24.456144075,22.343047694444447
2005-10-12 12:00:00,21.589928,24.091427083333333,24.6228148,24.460646991666668,22.381747838888888
2005-10-13 12:00:00,21.501207,24.03164113333333,24.592641488888887,24.462145274999997,22.420301477777777
2005-10-14 12:00:00,21.47961,23.972330283333335,24.55904548888889,24.462522925,22.45887696666667
2005-10-15 12:00:00,21.373686,23.9137525,24.518868655555554,24.460630499999997,22.49700981111111
2005-10-16 12:00:00,21.262375,23.856957883333333,24.473850944444443,24.454921566666663,22.53373353888889
2005-10-17 12:00:00,21.12382,23.798979133333333,24.42784998888889,24.44446041666667,22.56934571111111
2005-10-18 12:00:00,20.935347,23.73606295,24.380113933333334,24.429387691666665,22.604220366666667
2005-10-19 12:00:00,20.808529,23.668064666666666,24.330799100000004,24.410688716666666,22.637908333333332
2005-10-20 12:00:00,20.71681,23.59718275,24.278260944444447,24.388231291666667,22.670505205555553
2005-10-21 12:00:00,20.629066,23.528279016666666,24.223372699999995,24.361227508333332,22.702701194444444
2005-10-22 12:00:00,20.5792,23.46126518333333,24.165160322222224,24.331492808333333,22.7344121
2005-10-23 12:00:00,20.582634,23.39348395,24.105367888888885,24.297890525,22.764006744444448
2005-10-24 12:00:00,20.550346,23.324503033333333,24.042572355555553,24.259899425,22.791444355555555
2005-10-25 12:00:00,20.526415,23.25375048333333,23.976330244444448,24.22231771666667,22.816598783333333
2005-10-26 12:00:00,20.499964,23.18006205,23.9062742,24.183904416666667,22.840785649999997
2005-10-27 12:00:00,20.444687,23.103411933333334,23.834014655555556,24.141839174999998,22.863515427777777
2005-10-28 12:00:00,20.406273,23.0253303,23.758642155555556,24.098425725000002,22.883264738888883
2005-10-29 12:00:00,20.368341,22.947044883333334,23.681547166666665,24.055047974999997,22.900222727777777
2005-10-30 12:00:00,20.300245,22.866770616666663,23.60303533333333,24.016942216666667,22.915129872222224
2005-10-31 12:00:00,20.2367,22.783368583333335,23.523884755555557,23.985586708333337,22.9295395
2005-11-01 12:00:00,20.189035,22.697263799999998,23.447512455555554,23.9549983,22.944684344444447
2005-11-02 12:00:00,20.143661,22.609295983333332,23.378734022222226,23.921888666666668,22.96201382222222
2005-11-03 12:00:00,20.086235,22.520636633333332,23.3194798,23.887815675,22.98109605
2005-11-04 12:00:00,20.044535,22.433501416666665,23.26670762222222,23.85252585,22.999349811111113
2005-11-05 12:00:00,20.005823,22.34814413333333,23.21370092222222,23.815241758333332,23.016127794444447
2005-11-06 12:00:00,19.954027,22.26378038333333,23.16028618888889,23.775918316666665,23.03171977777778
2005-11-07 12:00:00,19.89332,22.177657766666666,23.107120500000004,23.735425333333335,23.046287066666668
2005-11-08 12:00:00,19.835634,22.092022733333337,23.05337626666667,23.69492295,23.059971533333332
2005-11-09 12:00:00,19.805273,22.0063446,22.997417877777778,23.656222658333334,23.071841366666668
2005-11-10 12:00:00,19.75462,21.91882843333333,22.939815566666667,23.618721041666667,23.08275233333333
2005-11-11 12:00:00,19.698265,21.830175666666666,22.880236755555558,23.581575124999997,23.091748683333336
2005-11-12 12:00:00,19.640797,21.741,22.819708233333333,23.543441724999997,23.097968911111106
2005-11-13 12:00:00,19.59369,21.652968949999998,22.759213,23.502528725,23.10314001666666
2005-11-14 12:00:00,19.51723,21.5671857,22.699533855555554,23.456925633333334,23.109812044444446
2005-11-15 12:00:00,19.431273,21.481729266666665,22.641325199999997,23.407903166666667,23.11729018888889
2005-11-16 12:00:00,19.35041,21.396475283333334,22.582968144444443,23.358624033333335,23.12494882777778
2005-11-17 12:00:00,19.245214,21.31151685,22.522244766666667,23.30873755,23.130825494444444
2005-11-18 12:00:00,19.152052,21.22742188333333,22.45850727777778,23.257947450000003,23.134024488888887
2005-11-19 12:00:00,18.988934,21.144492599999996,22.392054044444443,23.20414486666667,23.135037344444445
2005-11-20 12:00:00,18.718348,21.061267133333335,22.324888022222222,23.14705603333333,23.134291955555554
2005-11-21 12:00:00,18.474606,20.975677983333334,22.256827755555555,23.085858466666668,23.131588238888888
2005-11-22 12:00:00,18.313948,20.889233516666664,22.186432644444444,23.022108425000003,23.12648456666667
2005-11-23 12:00:00,18.065363,20.799676916666666,22.112834444444445,22.95430358333333,23.11714866666667
2005-11-24 12:00:00,17.86756,20.706845816666668,22.036123244444443,22.882464875,23.103594627777778
2005-11-25 12:00:00,17.69663,20.611197716666666,21.955849466666667,22.806561724999998,23.085539299999997
2005-11-26 12:00:00,17.525393,20.51307016666666,21.872312788888888,22.728039616666667,23.06320467222222
2005-11-27 12:00:00,17.391222,20.413435683333333,21.7867578,22.646384816666668,23.039120283333332
2005-11-28 12:00:00,17.251326,20.312652183333334,21.699934022222223,22.56258845,23.014234727777776
2005-11-29 12:00:00,17.131119,20.2122311,21.611205333333334,22.477295191666666,22.988847144444446
2005-11-30 12:00:00,17.041601,20.11566945,21.52010287777778,22.391306433333334,22.962251744444444
2005-12-01 12:00:00,16.972536,20.021766566666663,21.426960811111112,22.307223049999997,22.933853294444447
2005-12-02 12:00:00,16.911663,19.9288826,21.332404511111108,22.228705908333335,22.90530276666667
2005-12-03 12:00:00,16.82849,19.836407549999997,21.23710111111111,22.157117366666668,22.876580444444446
2005-12-04 12:00:00,16.750496,19.744066816666667,21.142410533333333,22.090087908333334,22.848127044444446
2005-12-05 12:00:00,16.67874,19.65165935,21.04853808888889,22.022607191666665,22.821806833333333
2005-12-06 12:00:00,16.601236,19.559875050000002,20.955042355555555,21.954606216666665,22.798802861111113
2005-12-07 12:00:00,16.518415,19.468973166666668,20.860128333333332,21.88660774166667,22.776258505555557
2005-12-08 12:00:00,16.445045,19.379491616666666,20.7653651,21.818044658333335,22.753196505555554
2005-12-09 12:00:00,16.352833,19.290287216666666,20.6698859,21.74730553333333,22.7295286
2005-12-10 12:00:00,16.243336,19.200418616666663,20.572527522222224,21.674843099999997,22.70423558888889
2005-12-11 12:00:00,16.117023,19.109203533333332,20.4736341,21.600315308333332,22.676832505555556
2005-12-12 12:00:00,16.031506,19.018041849999996,20.37408042222222,21.524841491666667,22.64744413333333
2005-12-13 12:00:00,16.000051,18.926715866666665,20.275463733333336,21.449523075,22.617253905555554
2005-12-14 12:00:00,15.95649,18.836429266666663,20.178711122222225,21.375090883333332,22.585896755555552
2005-12-15 12:00:00,15.881232,18.74674355,20.08229526666667,21.301850716666667,22.55219556111111
2005-12-16 12:00:00,15.800784,18.658026283333335,19.98601898888889,21.228502708333334,22.51564903888889
2005-12-17 12:00:00,15.697686,18.57073193333333,19.889963055555555,21.153397441666666,22.47650243888889
2005-12-18 12:00:00,15.567113,18.483375000000002,19.794067088888887,21.075719833333334,22.43491747777778
2005-12-19 12:00:00,15.395385,18.394684583333333,19.698852577777778,20.995933666666666,22.390382388888888
2005-12-20 12:00:00,15.310318,18.306038783333335,19.605501933333333,20.9171589,22.342831266666668
2005-12-21 12:00:00,15.261498,18.217410416666667,19.512741300000002,20.8393378,22.293465344444446
2005-12-22 12:00:00,15.186375,18.127472766666664,19.420360844444446,20.76047835833333,22.241084605555553
2005-12-23 12:00:00,15.1046295,18.036710825,19.327759405555554,20.680606929166668,22.185503224999998
2005-12-24 12:00:00,15.03229,17.945142074999996,19.234369005555553,20.599446279166667,22.129925836111113
2005-12-25 12:00:00,14.989134,17.853294908333336,19.140520316666667,20.516678479166668,22.073701247222225
2005-12-26 12:00:00,14.943786,17.761613225,19.04641742777778,20.432512579166666,22.01509719166667
2005-12-27 12:00:00,14.89595,17.669774508333333,18.952269194444447,20.347552404166667,21.95554198611111
2005-12-28 12:00:00,14.845463,17.577726541666667,18.858348383333333,20.262385712500002,21.895940830555556
2005-12-29 12:00:00,14.773113,17.485607675,18.765200927777776,20.176189145833334,21.83983070277778
2005-12-30 12:00:00,14.704398,17.39340264166667,18.674857572222223,20.0883856125,21.788192019444445
2005-12-31 12:00:00,14.649821,17.301082408333336,18.586447705555557,19.99917310416667,21.73702633611111
2006-01-01 12:00:00,14.610738,17.208867025,18.498959227777778,19.909081504166668,21.68421478611111
2006-01-02 12:00:00,14.569419,17.116920091666668,18.412208405555557,19.8187783625,21.630850480555555
2006-01-03 12:00:00,14.529961,17.025010525000003,18.325975305555556,19.729255970833332,21.57668740833333
2006-01-04 12:00:00,14.482326,16.932952241666666,18.23996572777778,19.6405481875,21.521145252777778
2006-01-05 12:00:00,14.438496,16.841026725,18.15474575,19.552403554166666,21.46428778611111
2006-01-06 12:00:00,14.397177,16.749424341666668,18.070575183333332,19.463541054166665,21.40675833611111
2006-01-07 12:00:00,14.356306,16.658102208333336,17.987712605555554,19.37506247083333,21.34931603611111
2006-01-08 12:00:00,14.304631,16.566424841666667,17.905485205555557,19.286384720833333,21.292956719444444
2006-01-09 12:00:00,14.250453,16.474688725,17.82342966111111,19.196758579166666,21.23737693611111
2006-01-10 12:00:00,14.209085,16.383202391666668,17.741420294444445,19.106689029166667,21.182117547222223
2006-01-11 12:00:00,14.14246,16.291563441666668,17.659656438888888,19.016281720833334,21.126148963888888
2006-01-12 12:00:00,14.100473,16.200009825,17.577666027777777,18.9264893875,21.068355758333333
2006-01-13 12:00:00,14.049809,16.108886141666666,17.49628961666667,18.83803592083333,21.00757913611111
2006-01-14 12:00:00,13.998459,16.018339241666666,17.415579438888887,18.750034254166668,20.944715191666667
2006-01-15 12:00:00,13.95138,15.928355408333333,17.33588566111111,18.66241534583333,20.881867825
2006-01-16 12:00:00,13.920794,15.839615075,17.257946183333335,18.5755659625,20.819030058333333
2006-01-17 12:00:00,13.891532,15.751939741666668,17.18109066111111,18.4896808125,20.755944880555557
2006-01-18 12:00:00,13.887899,15.666922491666666,17.105213872222222,18.40570754583333,20.691737408333335
2006-01-19 12:00:00,13.867823,15.586080408333334,17.03008895,18.323673770833334,20.626730825
2006-01-20 12:00:00,13.827447,15.508627758333335,16.95506947222222,18.242152870833333,20.560114897222224
2006-01-21 12:00:00,13.812125,15.433597375,16.879841594444446,18.16141544583333,20.492604741666664
2006-01-22 12:00:00,13.793449,15.362398808333332,16.804764961111115,18.0810378625,20.42366865833333
2006-01-23 12:00:00,13.723496,15.293331075000001,16.729176972222223,18.000088445833335,20.352753608333334
2006-01-24 12:00:00,13.635355,15.225643158333334,16.65290353888889,17.9184204375,20.279588869444442
2006-01-25 12:00:00,13.550167,15.159389391666668,16.57629776111111,17.83622977916667,20.205156208333335
2006-01-26 12:00:00,13.472741,15.094081375,16.499258516666664,17.753758529166667,20.128950336111114
2006-01-27 12:00:00,13.42555,15.030318441666667,16.422116394444444,17.671485312500003,20.051831780555556
2006-01-28 12:00:00,13.402169,14.968169275,16.345471105555557,17.5902001875,19.974253219444446
2006-01-29 12:00:00,13.419759,14.907805241666667,16.269727316666668,17.511737345833335,19.896806036111112
2006-01-30 12:00:00,13.435352,14.848852175,16.194686394444442,17.435309370833334,19.821099425
2006-01-31 12:00:00,13.428744,14.790803525,16.120076205555556,17.3598430625,19.74940511388889
2006-02-01 12:00:00,13.424269,14.734066508333333,16.04605436111111,17.285237029166662,19.682767080555553
2006-02-02 12:00:00,13.442259,14.678929225,15.972695738888888,17.211498020833336,19.619701680555558
2006-02-03 12:00:00,13.447681,14.625078241666667,15.899827494444445,17.138368795833333,19.55676420833333
2006-02-04 12:00:00,13.408831,14.571871491666665,15.827103094444444,17.065873270833332,19.493694641666668
2006-02-05 12:00:00,13.358605,14.519207991666665,15.75449515,16.994090579166667,19.430807825000002
2006-02-06 12:00:00,13.297791,14.466753758333335,15.68185245,16.923122687499998,19.367614358333334
2006-02-07 12:00:00,13.22779,14.414669708333331,15.608769305555557,16.852478462500002,19.303093591666666
2006-02-08 12:00:00,13.184214,14.363684341666666,15.535764794444443,16.782051479166665,19.237790180555557
2006-02-09 12:00:00,13.164487,14.314475408333331,15.46316726111111,16.711839470833333,19.171702008333334
2006-02-10 12:00:00,13.164164,14.266686375,15.391204672222223,16.6423641125,19.10545645277778
2006-02-11 12:00:00,13.158215,14.219322441666666,15.319699394444443,16.573019154166666,19.039456197222222
2006-02-12 12:00:00,13.130544,14.172223341666667,15.248736216666668,16.504326304166668,18.97413503611111
2006-02-13 12:00:00,13.100853,14.125883691666667,15.178398216666665,16.43631362083333,18.909861708333334
2006-02-14 12:00:00,13.077814,14.080500858333334,15.108702705555556,16.369263570833333,18.845835425
2006-02-15 12:00:00,13.05714,14.036491758333334,15.039946327777779,16.303611845833334,18.781095547222222
2006-02-16 12:00:00,13.043467,13.994430991666666,14.97207316111111,16.23890299583333,18.715290219444444
2006-02-17 12:00:00,13.083757,13.955903858333333,14.906460083333334,16.175294220833333,18.64925706388889
2006-02-18 12:00:00,13.123835,13.919462475,14.844298827777779,16.112750629166666,18.584593425
2006-02-19 12:00:00,13.187427,13.884894625,14.785552394444446,16.051152520833334,18.521190075
2006-02-20 12:00:00,13.161744,13.851150775,14.728305683333335,15.989311770833334,18.457369163888888
2006-02-21 12:00:00,13.129041,13.818224299999999,14.67345766111111,15.9274675625,18.39314605277778
2006-02-22 12:00:00,13.151988,13.786885933333334,14.621062416666668,15.866014004166667,18.328592830555554
2006-02-23 12:00:00,13.121498,13.755758666666667,14.570227616666665,15.8045267875,18.263038541666667
2006-02-24 12:00:00,13.10672,13.725140900000001,14.52113125,15.7433770625,18.196722019444444
2006-02-25 12:00:00,13.088018,13.6950087,14.473317872222221,15.682391604166666,18.13003783611111
2006-02-26 12:00:00,13.072215,13.665454566666664,14.426883305555556,15.621590554166668,18.06340866388889
2006-02-27 12:00:00,13.054492,13.636810883333334,14.381587450000001,15.561209279166667,17.996396391666664
2006-02-28 12:00:00,13.021264,13.60875865,14.336917038888888,15.501080645833333,17.928509958333333
2006-03-01 12:00:00,13.026988,13.581711433333334,14.293077616666666,15.441396920833334,17.86001921388889
2006-03-02 12:00:00,13.036666,13.555476899999999,14.250022094444446,15.382171962500001,17.791213302777777
2006-03-03 12:00:00,13.03602,13.52992025,14.20788353888889,15.323420170833334,17.722492325
2006-03-04 12:00:00,13.041771,13.505117083333333,14.166675483333334,15.265063804166665,17.654543008333334
2006-03-05 12:00:00,13.063821,13.481475333333332,14.126509716666666,15.207213787499999,17.58752390277778
2006-03-06 12:00:00,13.057943,13.458466116666667,14.087139794444445,15.149746420833333,17.521091074999998
2006-03-07 12:00:00,13.013789,13.435409649999999,14.048199505555557,15.092416995833334,17.454163919444444
